genus_name,range,mean,median,variance
ACER,317,10.60665991902834,8,76.79414577486057
CARPINUS,86,9.334240440923184,6.5,58.59276882004211
FRAXINUS,97.5,9.508162850562254,8,46.01357868404521
PRUNUS,141,13.882979500048886,13,74.98981144039193
